HouseType,HouseType_ID,BuilderName,Builder_ID,BrokerName,Broker_ID,SellerName,Seller_ID,CustomerName,Customer_ID,Customer_Address,Customer_CellNumber,PaymentMethod,PaymentMethod_ID,MortgageProvider,MortgageProvider_ID,SalePrice,SaleDate
Villa,4,Builder_11,11,Broker_6,6,Seller_726,726,Ann Woodward,38,"41013 Darrell Mission Suite 461
New Tammyburgh, MD 52799",+1-898-620-2626x12230,Gift Card,10,SunTrust Bank,8,937090.48,2022-11-13
Cottage,7,Builder_19,19,Broker_17,17,Seller_395,395,Brad Golden,74,"35258 Delacruz Glens Suite 571
New Kevin, MD 30568",712-567-7684,Google Pay,8,Bank of America,1,351910.94,2020-10-22
Bungalow,9,Builder_19,19,Broker_21,21,Seller_15,15,Luke Murphy,28,"5472 Kathy Ports Suite 588
North Jeanne, GU 57308",+1-441-667-8063x51539,Bank Transfer,4,Bank of America,1,946007.62,2022-08-30
Duplex,5,Builder_20,20,Broker_17,17,Seller_533,533,Amanda Carpenter,130,"7785 Kelsey Spur
Alanland, MS 26850",+1-620-575-9670x3886,Gift Card,10,PNC Bank,6,929339.32,2023-09-01
Bungalow,9,Builder_3,3,Broker_7,7,Seller_203,203,Nathan Wiley,167,"4040 Nicholas Grove
South Anthony, NH 00714",967.688.8825,Apple Pay,9,Capital One,9,465502.92,2024-01-12
Cottage,7,Builder_13,13,Broker_30,30,Seller_198,198,Renee Gonzalez,90,"60530 Anderson Mount
Juliemouth, NV 80905",980.744.7639x16820,Gift Card,10,Ally Bank,10,701047.8,2022-07-27
Townhouse,2,Builder_13,13,Broker_12,12,Seller_901,901,Gregory Roberts,39,"70923 Ryan Ways
Wesleyhaven, CT 30003",301-851-0200x9822,Cryptocurrency,6,TD Bank,7,186605.56,2022-09-05
Townhouse,2,Builder_6,6,Broker_27,27,Seller_906,906,Shelby Jackson,120,"69232 Bruce Harbor Suite 439
Robertborough, CA 80987",2755755320,Cash,3,Bank of America,1,852823.77,2020-02-09
Apartment,1,Builder_18,18,Broker_12,12,Seller_334,334,Patricia Scott,185,"785 Michael Rapids
North Amanda, MS 93367",(737)814-6920x540,Apple Pay,9,Ally Bank,10,815051.65,2023-11-02
Mansion,8,Builder_8,8,Broker_23,23,Seller_957,957,Madison Pena,162,"294 Terry Forges
North Larry, NJ 13099",+1-506-392-2094x4772,Google Pay,8,Chase Bank,2,459884.08,2023-10-12
Penthouse,6,Builder_8,8,Broker_5,5,Seller_104,104,Timothy Meyer,166,"2074 Victoria Avenue
Masonmouth, GU 44558",7479394955,Bank Transfer,4,Wells Fargo,3,498310.31,2020-01-03
Single Family Home,3,Builder_10,10,Broker_29,29,Seller_519,519,Steven Simpson,178,"75294 Anderson Turnpike
Rodriguezmouth, OR 15537",347.870.4709,Apple Pay,9,US Bank,4,704748.33,2022-08-25
Duplex,5,Builder_1,1,Broker_6,6,Seller_196,196,Terri Chang,164,"2791 Jonathan Estate Suite 421
East Felicia, IN 82408",+1-990-395-8204x4266,Cash,3,Bank of America,1,701003.75,2024-05-17
Duplex,5,Builder_16,16,Broker_16,16,Seller_429,429,Melissa Kim,80,"602 Davis Plaza Suite 719
Owenstown, FM 77581",814-963-1162x496,Bank Transfer,4,US Bank,4,350841.36,2023-12-11
Duplex,5,Builder_1,1,Broker_27,27,Seller_515,515,Evan Osborne,132,"PSC 5866, Box 2935
APO AP 35975",001-405-847-5796x8226,Cash,3,Wells Fargo,3,607118.27,2023-10-20
Bungalow,9,Builder_3,3,Broker_9,9,Seller_3,3,Brandon Wheeler,187,"8740 Christopher Fork Suite 201
Sarahview, MP 37319",4753395116,Credit Card,1,Wells Fargo,3,556160.04,2022-03-31
Duplex,5,Builder_13,13,Broker_21,21,Seller_224,224,Susan Wang,34,"11626 Susan Plaza Suite 304
Lindaburgh, PW 32882",001-376-377-9530x0618,Bank Transfer,4,Wells Fargo,3,941286.15,2020-04-02
Villa,4,Builder_8,8,Broker_15,15,Seller_365,365,Renee Gonzalez,90,"8244 Potter Port Apt. 051
Matthewchester, NJ 80268",001-619-732-9577x4037,Cheque,5,PNC Bank,6,234184.96,2021-07-07
Single Family Home,3,Builder_10,10,Broker_11,11,Seller_855,855,Rachel Gentry,103,"USNS Daniels
FPO AE 26720",001-316-846-5251x2651,Bank Transfer,4,Bank of America,1,234810.06,2022-11-19
Cottage,7,Builder_12,12,Broker_29,29,Seller_36,36,Brenda Wolf,129,"78465 Matthew Square Apt. 997
Veronicaview, IN 15399",001-490-817-8602x537,Gift Card,10,Wells Fargo,3,303486.61,2020-09-29
Studio,10,Builder_8,8,Broker_5,5,Seller_174,174,Nicole Clark,197,"36491 Hannah Roads
Lake Crystalshire, CA 33435",4255714719,Google Pay,8,TD Bank,7,948088.17,2022-03-23
Mansion,8,Builder_3,3,Broker_6,6,Seller_125,125,Ryan Banks,135,"308 Kyle Gardens
Jessicaport, PR 13651",001-672-822-1848,Cheque,5,Bank of America,1,528375.76,2020-02-28
Duplex,5,Builder_14,14,Broker_13,13,Seller_757,757,Bradley Schneider,138,"1344 Julie Glen
Port Monica, SD 53444",7836104724,PayPal,7,US Bank,4,224654.17,2022-07-01
Mansion,8,Builder_6,6,Broker_26,26,Seller_638,638,Robin Long,172,"21891 Crystal Knolls Apt. 646
Fosterborough, ME 34204",(342)838-8036x27180,Gift Card,10,Citibank,5,816980.83,2021-07-01
Cottage,7,Builder_11,11,Broker_13,13,Seller_338,338,Spencer Baldwin,49,"690 Chase Port
Webbstad, NC 91440",+1-224-851-8191x709,Google Pay,8,Citibank,5,536090.16,2020-12-25
Villa,4,Builder_5,5,Broker_21,21,Seller_774,774,David Henderson,87,"484 Wright Loaf
Patriciaberg, MH 56676",500.301.6143,Bank Transfer,4,Bank of America,1,734403.29,2023-08-05
Mansion,8,Builder_14,14,Broker_16,16,Seller_35,35,Heather Suarez,3,"591 Smith Forges
Josephmouth, GU 10755",604-274-9245,Gift Card,10,Citibank,5,398108.87,2024-05-01
Bungalow,9,Builder_18,18,Broker_4,4,Seller_496,496,Lindsey Malone,186,"56552 Veronica Green
Brownville, VI 50993",(285)238-7306x292,Gift Card,10,US Bank,4,667633.37,2023-11-10
Studio,10,Builder_6,6,Broker_21,21,Seller_872,872,Judith Petersen,22,"Unit 3162 Box 8248
DPO AP 14971",693-392-8062,Debit Card,2,Capital One,9,636779.86,2023-03-22
Single Family Home,3,Builder_9,9,Broker_10,10,Seller_278,278,Patricia Dunlap,122,"96969 Nicholas Knoll Suite 520
Samuelberg, TX 71314",500.717.1682,Cheque,5,US Bank,4,675733.33,2023-05-04
Duplex,5,Builder_11,11,Broker_6,6,Seller_220,220,Jose Kemp,27,"9111 Powell Extension Suite 298
West Michaelberg, CO 18975",935-997-3098x4192,Debit Card,2,SunTrust Bank,8,208562.15,2020-10-13
Penthouse,6,Builder_18,18,Broker_7,7,Seller_754,754,Ryan Banks,135,"76391 Vasquez Land
Lake Jacquelineside, NJ 92159",5662972964,Cheque,5,US Bank,4,986510.76,2021-09-30
Duplex,5,Builder_2,2,Broker_1,1,Seller_534,534,David Russell,14,"PSC 6182, Box 7756
APO AP 00655",(391)858-2966,Apple Pay,9,Ally Bank,10,634670.72,2021-04-19
Studio,10,Builder_2,2,Broker_2,2,Seller_554,554,Matthew Reed,102,"917 Crawford Keys
Hintonfurt, MD 13257",+1-434-811-1308x6312,Cash,3,Capital One,9,290215.55,2022-05-21
Penthouse,6,Builder_20,20,Broker_4,4,Seller_707,707,Michael Rivera,69,"4905 Harris Pike
North Michaelton, WA 20017",+1-214-789-7086x16627,Bank Transfer,4,Citibank,5,890434.16,2024-05-20
Villa,4,Builder_4,4,Broker_28,28,Seller_951,951,Jose Kemp,27,"5972 Romero Glen
West Daniel, RI 75915",+1-812-863-9293,Cash,3,PNC Bank,6,809740.73,2022-04-25
Penthouse,6,Builder_4,4,Broker_26,26,Seller_966,966,Michelle Clark,168,"0192 Christopher Squares
Brandonfurt, AS 55844",603-888-0826x11727,Debit Card,2,SunTrust Bank,8,945869.12,2020-01-10
Townhouse,2,Builder_14,14,Broker_21,21,Seller_762,762,Spencer Baldwin,49,"03659 David Locks Apt. 210
North Zachary, MO 38116",001-581-780-4411x714,PayPal,7,US Bank,4,874234.97,2022-04-18
Studio,10,Builder_15,15,Broker_13,13,Seller_356,356,Steven Tate,157,"6754 Jason Mews Apt. 842
Bennettmouth, NY 75218",617-995-3247x022,Credit Card,1,Capital One,9,314900.47,2021-08-06
Cottage,7,Builder_15,15,Broker_27,27,Seller_315,315,Robin Long,172,"679 Regina Turnpike Apt. 595
East Frank, FL 46302",522-252-9427,PayPal,7,Citibank,5,574624.43,2022-06-28
Bungalow,9,Builder_13,13,Broker_25,25,Seller_518,518,Raymond Steele,16,"852 Rebecca Pass Suite 390
Jodiville, RI 45108",001-237-534-5079,Cheque,5,SunTrust Bank,8,238380.67,2022-06-13
Studio,10,Builder_19,19,Broker_6,6,Seller_134,134,Gregory Roberts,39,"90430 Castro Islands
East Steven, NM 39276",5523505780,Google Pay,8,US Bank,4,300900.55,2024-02-10
Villa,4,Builder_19,19,Broker_20,20,Seller_688,688,Shannon Freeman,136,"807 Kimberly Crossroad Suite 301
Lake Juliaberg, ND 39922",891.548.9731x91503,Cash,3,Bank of America,1,264231.6,2021-12-08
Duplex,5,Builder_7,7,Broker_4,4,Seller_174,174,Michael Rivera,69,"63124 Joshua Ville Suite 619
North Anthonyport, WI 04034",894-201-3791x93181,Apple Pay,9,Bank of America,1,231767.26,2022-08-31
Bungalow,9,Builder_2,2,Broker_23,23,Seller_370,370,Debbie Ward,101,"PSC 4685, Box 5010
APO AE 56726",204-364-5404x047,Cash,3,Citibank,5,198177.68,2022-04-28
Mansion,8,Builder_4,4,Broker_16,16,Seller_174,174,Christopher Curtis,117,"311 Wagner Circle
North Jonathanfurt, MS 98205",(530)636-7279x4472,Credit Card,1,Chase Bank,2,513157.8,2020-10-16
Duplex,5,Builder_18,18,Broker_4,4,Seller_458,458,Terri Chang,164,"116 Griffin Flats Apt. 514
Ryanbury, NE 10844",834-327-0384x9225,Debit Card,2,Capital One,9,801166.28,2020-01-20
Duplex,5,Builder_12,12,Broker_11,11,Seller_823,823,Bryan Porter,116,"PSC 0291, Box 8746
APO AE 29351",949-793-2085x1289,Bank Transfer,4,Capital One,9,826465.21,2023-08-11
Bungalow,9,Builder_11,11,Broker_2,2,Seller_506,506,David Poole,112,"155 Bradley Meadows
Stephanieberg, AK 13455",+1-222-921-9970x5702,Cash,3,Citibank,5,356928.39,2024-09-04
Mansion,8,Builder_5,5,Broker_1,1,Seller_850,850,Joshua Brown,179,"USS Byrd
FPO AP 45907",953-818-6540x17993,Apple Pay,9,TD Bank,7,232739.61,2023-06-24
Single Family Home,3,Builder_8,8,Broker_17,17,Seller_193,193,Tina Miles,70,"33070 Martinez Rapid Suite 505
South Chelseyborough, AS 13503",6485131636,Bank Transfer,4,SunTrust Bank,8,779985.92,2024-08-02
Duplex,5,Builder_3,3,Broker_19,19,Seller_780,780,Thomas Castaneda,182,"29462 Lawson Curve Apt. 135
Jasonfurt, SC 31502",363-936-1034x22710,Cheque,5,TD Bank,7,368999.18,2021-07-10
Apartment,1,Builder_6,6,Broker_19,19,Seller_91,91,Belinda Mcconnell,196,"07583 Paul Meadows
North Laurieside, TX 90393",+1-798-348-7450x5735,Debit Card,2,PNC Bank,6,426376.77,2023-04-10
Apartment,1,Builder_9,9,Broker_24,24,Seller_115,115,Justin White,161,"2904 Bradford Fords
Mercedeshaven, WV 93732",+1-612-806-9481x324,Cash,3,Chase Bank,2,485699.02,2020-11-22
Duplex,5,Builder_8,8,Broker_14,14,Seller_240,240,Nicole Clark,197,"18327 Ayers Garden Suite 500
Katiemouth, KS 08676",001-816-902-3761,Google Pay,8,Chase Bank,2,403040.42,2024-02-28
Cottage,7,Builder_2,2,Broker_17,17,Seller_529,529,Patricia Scott,185,"PSC 4189, Box 8504
APO AE 97094",856.888.4039x9963,Bank Transfer,4,Capital One,9,402444.54,2024-06-27
Single Family Home,3,Builder_10,10,Broker_6,6,Seller_234,234,Christie Harrington,23,"8628 Barbara Flats Suite 404
Port Keithmouth, VI 89066",622.330.1661x86426,Google Pay,8,US Bank,4,588199.67,2021-08-20
Mansion,8,Builder_6,6,Broker_1,1,Seller_392,392,Cynthia Turner,109,"9215 Lane Highway Suite 842
Andreastad, IA 45171",967.693.6584,PayPal,7,PNC Bank,6,727782.26,2021-01-02
Townhouse,2,Builder_4,4,Broker_19,19,Seller_938,938,Shannon Freeman,136,"3508 Samuel Turnpike
North Ryan, SC 06330",665.713.2769,Cryptocurrency,6,SunTrust Bank,8,762803.35,2021-06-19
Mansion,8,Builder_13,13,Broker_30,30,Seller_63,63,Elizabeth Gibson,131,"434 Roberts Street Suite 301
North Oscarborough, IL 35720",+1-259-723-2294x64010,Cryptocurrency,6,Citibank,5,673104.63,2021-09-03
Studio,10,Builder_8,8,Broker_26,26,Seller_34,34,John Collins,89,"759 Marshall Hollow
Harrisonview, RI 53412",8479005921,PayPal,7,Chase Bank,2,647192.59,2020-02-02
Villa,4,Builder_17,17,Broker_19,19,Seller_391,391,Anna Baldwin,95,"62118 Townsend Glens Apt. 203
Katietown, IA 74548",838.272.0470x7306,Apple Pay,9,US Bank,4,717408.56,2024-02-19
Villa,4,Builder_9,9,Broker_29,29,Seller_270,270,Christie Harrington,23,"78969 Ricky Ports
Port Kristen, ID 23388",(332)923-3633x830,Debit Card,2,PNC Bank,6,332224.46,2021-03-10
Single Family Home,3,Builder_8,8,Broker_19,19,Seller_818,818,Jason Frank,139,"62789 Daniel Terrace
Ramirezton, MN 75902",5267951443,Gift Card,10,Bank of America,1,873809.27,2023-06-21
Duplex,5,Builder_8,8,Broker_23,23,Seller_664,664,Allen Brewer,12,"Unit 2384 Box 9904
DPO AE 68298",(994)302-1525x80230,Debit Card,2,US Bank,4,236840.34,2024-01-25
Duplex,5,Builder_8,8,Broker_17,17,Seller_423,423,Leonard Guzman,150,"2995 Kelly Islands Apt. 948
Davisshire, WI 94149",+1-914-920-9465x8626,Credit Card,1,PNC Bank,6,201711.39,2020-01-14
Penthouse,6,Builder_1,1,Broker_12,12,Seller_19,19,David Russell,14,"021 Jackson Junction Suite 603
Jacquelineville, HI 69600",468.299.1046x5835,Cryptocurrency,6,Wells Fargo,3,447737.12,2020-06-05
Duplex,5,Builder_14,14,Broker_21,21,Seller_184,184,Emily Moore,171,"47268 Castaneda Station
East Michaelport, SC 76092",001-872-647-1787x182,Cheque,5,Bank of America,1,742894.46,2024-01-22
Duplex,5,Builder_5,5,Broker_24,24,Seller_638,638,Daniel Duffy,115,"978 Miller Route Suite 717
West Jessicahaven, MO 39619",3693248824,Google Pay,8,Ally Bank,10,667677.0,2020-05-04
Cottage,7,Builder_12,12,Broker_20,20,Seller_628,628,Christopher Curtis,117,"09609 Marshall Creek
Lake Paulport, VT 62142",+1-623-801-7145x9891,Gift Card,10,Bank of America,1,606998.31,2023-04-03
Bungalow,9,Builder_10,10,Broker_4,4,Seller_971,971,Brenda Gonzalez,134,"30379 Collins Causeway
South Allison, KS 87318",001-239-953-9633,Apple Pay,9,Citibank,5,585969.37,2020-02-29
Penthouse,6,Builder_18,18,Broker_29,29,Seller_423,423,Raymond Steele,16,"378 Ramos Island
Kevinshire, MH 75772",560.246.2705x21669,Debit Card,2,Bank of America,1,156267.2,2022-10-15
Apartment,1,Builder_14,14,Broker_23,23,Seller_929,929,Amanda Carpenter,130,"0539 Rachel Parkways
Mooremouth, PR 64994",(205)855-5215x72064,Debit Card,2,Chase Bank,2,351254.04,2023-10-27
Mansion,8,Builder_11,11,Broker_27,27,Seller_919,919,Laura Mcfarland,67,"33247 John Coves Suite 294
Donaldmouth, WA 65398",(740)829-8911,Bank Transfer,4,TD Bank,7,664983.47,2023-12-07
Studio,10,Builder_12,12,Broker_9,9,Seller_987,987,Emily Moore,171,"PSC 3463, Box 5069
APO AP 68266",654.462.6405x716,PayPal,7,Ally Bank,10,753459.14,2020-04-15
Single Family Home,3,Builder_1,1,Broker_19,19,Seller_266,266,James Moore,8,"258 Peterson Points Apt. 507
Frankville, OR 86393",711-544-0397x447,Credit Card,1,Wells Fargo,3,798960.38,2024-01-10
Penthouse,6,Builder_12,12,Broker_27,27,Seller_196,196,Heather Rose,174,"921 Tracy Forest Apt. 694
South Paul, NM 94425",333-848-8445,Google Pay,8,Citibank,5,637271.84,2023-07-03
Apartment,1,Builder_3,3,Broker_28,28,Seller_597,597,Robin James,194,"4377 James Crest
East Cole, MN 30968",966-866-4908x39244,Gift Card,10,Capital One,9,914743.83,2020-10-13
Townhouse,2,Builder_18,18,Broker_16,16,Seller_277,277,Rebecca Davis,45,"31283 Lori Springs Suite 331
South Amybury, PR 45056",(971)299-5115,Bank Transfer,4,Capital One,9,405541.17,2024-03-08
Mansion,8,Builder_19,19,Broker_23,23,Seller_370,370,Linda Dunn,15,"5966 Jones Ford
Benjaminstad, NY 99169",001-745-379-0011x215,Cash,3,Ally Bank,10,843610.54,2020-10-26
Duplex,5,Builder_18,18,Broker_9,9,Seller_261,261,Patricia Dunlap,122,"0840 Austin Shore
North Caleb, VT 05862",790.630.6489x952,Gift Card,10,Bank of America,1,768756.73,2021-04-17
Mansion,8,Builder_6,6,Broker_3,3,Seller_676,676,Robin James,194,"5267 Brandi Drive
Ramirezside, GU 61700",3854988024,Cash,3,PNC Bank,6,769676.29,2023-06-26
Apartment,1,Builder_3,3,Broker_10,10,Seller_210,210,Emily Moore,171,"8090 Griffith Trail Suite 997
Daltonton, SD 58553",900.521.3421,Debit Card,2,Ally Bank,10,341374.57,2023-04-05
Studio,10,Builder_19,19,Broker_27,27,Seller_710,710,Laura Thomas,155,"2321 Lee Drive Apt. 474
Lake Alicia, NY 98888",642.280.3973x333,Gift Card,10,SunTrust Bank,8,185291.37,2020-09-30
Mansion,8,Builder_17,17,Broker_15,15,Seller_477,477,Debbie Butler,66,"5192 Carter Rest Suite 621
Lake Cody, PA 58436",785-705-2141,Cash,3,US Bank,4,403058.02,2024-07-06
Penthouse,6,Builder_7,7,Broker_4,4,Seller_254,254,Wendy Bernard,7,"14000 Smith Ports Apt. 809
Pittsside, ND 66112",001-653-204-2939x7285,PayPal,7,SunTrust Bank,8,179969.37,2020-10-18
Mansion,8,Builder_20,20,Broker_12,12,Seller_344,344,Grant Owens,57,"Unit 5813 Box 8336
DPO AE 10009",(663)761-1849,Cryptocurrency,6,PNC Bank,6,723039.66,2020-11-30
Cottage,7,Builder_4,4,Broker_30,30,Seller_660,660,Lindsey Malone,186,"750 Jordan Rue Suite 469
Shermantown, MP 78847",001-649-358-9203x49298,Bank Transfer,4,TD Bank,7,237228.66,2023-11-03
Duplex,5,Builder_5,5,Broker_20,20,Seller_277,277,Jason Williams,154,"007 Lori Summit Apt. 136
North Stevenstad, MP 96211",+1-500-283-1884,Bank Transfer,4,Capital One,9,326656.08,2022-05-07
Villa,4,Builder_14,14,Broker_11,11,Seller_890,890,Heather Rose,174,"522 Mosley Trail Suite 606
Eileenchester, PW 29326",+1-393-433-6497x207,Debit Card,2,SunTrust Bank,8,939039.02,2024-08-02
Duplex,5,Builder_12,12,Broker_22,22,Seller_679,679,Kayla Moore,62,"5268 Allison Rapid Suite 859
Loganborough, VA 00502",(971)979-7899x55201,Cash,3,Bank of America,1,292044.49,2023-09-06
Townhouse,2,Builder_18,18,Broker_6,6,Seller_439,439,Kristina Madden,55,"PSC 9013, Box 2106
APO AE 35539",001-406-376-2732x88091,Debit Card,2,Wells Fargo,3,499643.65,2022-08-18
Apartment,1,Builder_2,2,Broker_28,28,Seller_868,868,Patricia Scott,185,"042 Clayton Lane Apt. 783
Port James, NV 43692",+1-629-624-5514x95366,Cash,3,SunTrust Bank,8,745741.42,2022-12-20
Apartment,1,Builder_8,8,Broker_13,13,Seller_41,41,Melissa Kim,80,"972 Larson Lane Apt. 483
New Alan, WA 11111",001-599-523-2470x8146,Cash,3,TD Bank,7,939577.6,2020-07-28
Duplex,5,Builder_4,4,Broker_13,13,Seller_138,138,Kelly Green,11,"53523 Gloria Well
Davidton, MD 50208",001-684-274-5285x372,PayPal,7,TD Bank,7,844847.11,2022-10-24
Single Family Home,3,Builder_11,11,Broker_26,26,Seller_938,938,Phillip Wolfe,105,"322 Moore Hill Apt. 231
Guzmanview, OH 20366",961-380-2521,Cash,3,SunTrust Bank,8,172574.47,2024-07-21
Townhouse,2,Builder_7,7,Broker_28,28,Seller_330,330,Rebecca Davis,45,"11619 Brian Mews
Lake Blakebury, VI 16963",+1-705-485-4968x6636,Google Pay,8,Ally Bank,10,266610.53,2022-03-16
Townhouse,2,Builder_5,5,Broker_5,5,Seller_961,961,Laura Thomas,155,"8860 Simmons Fall
Wrightmouth, OK 42893",581.428.4861,Cheque,5,TD Bank,7,388648.76,2020-03-20
Townhouse,2,Builder_9,9,Broker_23,23,Seller_523,523,Michael Baker,59,"6920 Dawson Plains Apt. 774
East Kaitlin, PW 07621",713-554-8518x474,PayPal,7,Chase Bank,2,603635.91,2023-06-08
Mansion,8,Builder_7,7,Broker_8,8,Seller_969,969,Kelly Ramirez,25,"708 Sue Track
Port Andrew, CA 37817",001-474-550-9639x233,Cryptocurrency,6,TD Bank,7,438176.4,2020-05-02
Apartment,1,Builder_9,9,Broker_30,30,Seller_340,340,Daniel Webb,177,"3886 Brittney Cliff
Lake Barbara, PR 97535",001-274-390-6917x819,Debit Card,2,PNC Bank,6,439387.88,2023-10-27
Townhouse,2,Builder_15,15,Broker_15,15,Seller_328,328,Shannon Freeman,136,"995 Andrew Passage Apt. 684
North Janetside, MS 29432",(223)210-8448x607,Credit Card,1,Bank of America,1,474247.47,2020-05-23
Bungalow,9,Builder_11,11,Broker_5,5,Seller_911,911,Heather Rose,174,"46486 Wade Harbors Suite 993
Samanthamouth, UT 67996",849.775.6051x736,Cryptocurrency,6,Wells Fargo,3,308429.05,2022-12-26
Villa,4,Builder_15,15,Broker_30,30,Seller_600,600,Daniel Duffy,115,"31726 Nicholas Road Suite 250
Allisonmouth, TX 65475",441.679.7400x88793,Cash,3,TD Bank,7,940158.79,2023-07-05
Mansion,8,Builder_12,12,Broker_6,6,Seller_963,963,Rachel Gentry,103,"PSC 9809, Box 6476
APO AA 66162",(687)829-7700,Google Pay,8,Ally Bank,10,466459.46,2022-08-12
Villa,4,Builder_14,14,Broker_18,18,Seller_761,761,Madison Pena,162,"78775 Jensen Summit Apt. 069
New Mary, FL 63452",(980)213-5844x946,Google Pay,8,Bank of America,1,565008.53,2022-11-22
Villa,4,Builder_19,19,Broker_14,14,Seller_789,789,Rebecca Davis,45,"8222 Vincent Walks Suite 795
Ortegaberg, NV 80921",(479)242-2403x4646,Gift Card,10,Ally Bank,10,959038.02,2023-10-24
Bungalow,9,Builder_6,6,Broker_27,27,Seller_640,640,Jennifer Watson,93,"PSC 3638, Box 8042
APO AE 44078",001-904-704-7031x2092,Debit Card,2,SunTrust Bank,8,995576.03,2021-04-05
Cottage,7,Builder_6,6,Broker_22,22,Seller_740,740,Bradley Schneider,138,"733 Anthony Ports
Leonport, GU 84351",287-220-5412x37530,Gift Card,10,Wells Fargo,3,235365.71,2021-12-06
Townhouse,2,Builder_20,20,Broker_26,26,Seller_785,785,Patricia Scott,185,"3168 Gary Stream Apt. 408
Tranmouth, NJ 79335",(827)437-9063,Google Pay,8,PNC Bank,6,787180.07,2024-03-03
Studio,10,Builder_9,9,Broker_17,17,Seller_507,507,Jeanne Fisher,106,"USNV Mclaughlin
FPO AE 27130",001-316-645-6568x47888,Google Pay,8,Citibank,5,492588.87,2023-06-30
Cottage,7,Builder_20,20,Broker_15,15,Seller_979,979,Todd Young,10,"USS Dorsey
FPO AP 57172",001-529-681-0917x415,PayPal,7,SunTrust Bank,8,659028.45,2021-07-18
Townhouse,2,Builder_16,16,Broker_15,15,Seller_155,155,Kaitlin Navarro,110,"PSC 1282, Box 4414
APO AE 12740",001-371-721-8155x8600,Credit Card,1,Ally Bank,10,862439.8,2020-09-13
Penthouse,6,Builder_15,15,Broker_17,17,Seller_24,24,Zachary Collins,85,"51313 Alvarado Ridge
Lake John, DE 22237",001-493-935-6289x3477,PayPal,7,US Bank,4,928839.73,2020-12-21
Studio,10,Builder_11,11,Broker_30,30,Seller_740,740,Christina Jackson,60,"35884 Pham Island Apt. 207
Lake Abigailmouth, TN 46493",001-928-258-9403x30831,Gift Card,10,TD Bank,7,234493.55,2020-12-03
Villa,4,Builder_18,18,Broker_20,20,Seller_527,527,Holly Schroeder,77,"02851 William Skyway
New Thomas, IA 30963",(654)908-3230,Credit Card,1,PNC Bank,6,866073.97,2020-12-30
Villa,4,Builder_16,16,Broker_23,23,Seller_678,678,Barbara Evans,19,"6277 Whitney Glen
Mckinneymouth, NJ 42332",253.808.3887x2388,Bank Transfer,4,SunTrust Bank,8,514868.23,2021-02-03
Single Family Home,3,Builder_7,7,Broker_28,28,Seller_453,453,Daniel Duffy,115,"796 Aaron Circles
Smithmouth, RI 03030",210-234-3336x0209,Cash,3,Bank of America,1,962188.66,2022-05-27
Duplex,5,Builder_10,10,Broker_10,10,Seller_52,52,Patricia Scott,185,"08059 Henderson Union
Ryanchester, IN 25571",400-621-7769x239,Gift Card,10,Citibank,5,883044.88,2020-05-02
Apartment,1,Builder_16,16,Broker_29,29,Seller_309,309,Debbie Butler,66,"03241 Brian Village Suite 404
Drakebury, VI 97619",583.488.7014x83275,Gift Card,10,Ally Bank,10,973820.79,2023-08-20
Penthouse,6,Builder_17,17,Broker_3,3,Seller_201,201,Michael Rivera,69,"6022 Cynthia Corners
West Walter, SD 24758",001-675-450-7779,Cryptocurrency,6,Bank of America,1,410406.05,2021-03-08
Bungalow,9,Builder_16,16,Broker_22,22,Seller_680,680,Judith Petersen,22,"112 Saunders Trail
Kimberlychester, VT 81711",685.228.1272x7680,Debit Card,2,PNC Bank,6,695328.12,2020-06-06
Duplex,5,Builder_7,7,Broker_30,30,Seller_822,822,Michael Robinson,200,"49896 Wolf Mill
Carrburgh, NH 98775",949.923.8776,Bank Transfer,4,US Bank,4,518791.19,2021-06-04
Villa,4,Builder_12,12,Broker_26,26,Seller_73,73,Robert Brown,76,"PSC 1798, Box 7026
APO AE 34898",(884)424-4643,Debit Card,2,Chase Bank,2,891815.93,2024-04-11
Bungalow,9,Builder_15,15,Broker_16,16,Seller_252,252,Michael Baker,59,"948 Christopher Land
Lewisfort, GU 40533",267-419-3899x90357,Cheque,5,TD Bank,7,443022.75,2021-06-09
Mansion,8,Builder_3,3,Broker_1,1,Seller_26,26,Patricia Scott,185,"26066 Rachel Fork
Maysburgh, VA 00721",514-248-8110,Google Pay,8,Capital One,9,467488.86,2023-03-06
Single Family Home,3,Builder_3,3,Broker_16,16,Seller_767,767,Tamara Morgan,114,"3951 Bradford Shoal
West Joymouth, MO 25661",4478973748,Cash,3,TD Bank,7,318513.81,2020-04-18
Bungalow,9,Builder_11,11,Broker_7,7,Seller_58,58,Joseph Parker,18,"624 Matthew Shoals
South Ashleyborough, AZ 76359",(952)219-1045x807,Cryptocurrency,6,Chase Bank,2,500494.62,2023-06-29
Villa,4,Builder_9,9,Broker_13,13,Seller_754,754,Sharon Gillespie,111,"415 Marc Walk Apt. 139
Johnshire, KY 22604",274.201.5497x681,Credit Card,1,TD Bank,7,918965.46,2021-08-26
Mansion,8,Builder_19,19,Broker_22,22,Seller_920,920,James Moore,8,"8002 Cabrera Locks Apt. 425
New Emma, VI 98300",001-672-857-7596x2460,Cash,3,Wells Fargo,3,247573.1,2021-12-28
